mnist classes = 2
size: 1000
(122,)
(878,)
       nu    gamma  precision    recall        f1
219  0.80   0.0100   0.870000  0.198178  0.322820
220  0.80   0.0300   0.870000  0.198178  0.322820
221  0.80   0.1000   0.870000  0.198178  0.322820
222  0.80   0.3000   0.870000  0.198178  0.322820
223  0.80   1.0000   0.870000  0.198178  0.322820
224  0.80   3.0000   0.870000  0.198178  0.322820
225  0.80  10.0000   0.870000  0.198178  0.322820
226  0.80  30.0000   0.870000  0.198178  0.322820
227  0.90   0.0001   0.870000  0.198178  0.322820
nu_gamma_f1: [0.05, 0.0003, 0.32282003710575141]
Confusion matrix:
Prediction   -1    1
Target              
-1           96   26
 1          704  174
Confusion matrix:
[[ 96  26]
 [704 174]]
precision: 0.87, recall: 0.198177676538, f1-score: 0.322820037106

*** PROFILER RESULTS ***
incremental_ocsvm (evaluation_performance.py:185)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
cvxopt_ocsvm (evaluation_performance.py:181)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
sklearn_ocsvm (evaluation_performance.py:177)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)


